PCName,MAC_AddressEthernet,IPAddressEthernet,MAC_AddressWifi,IPAddressWifi,Drive,DriveSizeGB,UsedDriveSpaceGB,RAM,RamType,RAMSizeGB,CPUModel,OS
DENIS-PC,D4-5D-64-4A-8E-24,192.168.31.163,8C-B8-7E-C9-AB-30,10.240.0.174,Samsung SSD 870 QVO 1TB;Samsung SSD 980 1TB;Microsoft Storage Space Device;SPCC M.2 PCIe SSD,1853.37;931.51;931.51;930.8,185.47;733.05;358.53;170.51,DIMM,DDR4,4x8 GB,AMD Ryzen 7 5800X 8-Core Processor             ,Microsoft Windows 11 Pro Insider Preview
DENIS-LAPTOP,FC-34-97-DE-43-05,172.29.1.136,EC-2E-98-E3-5F-7F,192.168.0.111,NVMe SAMSUNG MZVLQ512HBLU-00B00;NVMe Samsung SSD 970 EVO Plus 500GB,476.17;465.75,222.07;366.97,SODIMM,DDR4,2x8 GB,11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz,Microsoft Windows 11 Pro Insider Preview
DENIS-LAPTOP,FC-34-97-DE-43-05,172.29.1.136,EC-2E-98-E3-5F-7F,192.168.0.111,NVMe SAMSUNG MZVLQ512HBLU-00B00;NVMe Samsung SSD 970 EVO Plus 500GB,476.17;465.75,223.1;375.61,SODIMM,DDR4,2x8 GB,11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz,Microsoft Windows 11 Pro Insider Preview
DESKTOP-SC95KCB,FC-34-97-DE-43-05,172.29.1.136,EC-2E-98-E3-5F-7F,192.168.0.103,NVMe SAMSUNG MZVLQ512HBLU-00B00;NVMe Samsung SSD 970 EVO Plus 500GB,465.75;475.93,360.33;323.87,SODIMM,DDR4,2x8 GB,11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz,Microsoft Windows 11 Pro
DESKTOP-SC95KCB,FC-34-97-DE-43-05,172.29.1.136,EC-2E-98-E3-5F-7F,192.168.0.103,NVMe SAMSUNG MZVLQ512HBLU-00B00;NVMe Samsung SSD 970 EVO Plus 500GB,465.75;475.93,360.33;323.94,SODIMM,DDR4,2x8 GB,11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz,Microsoft Windows 11 Pro
DESKTOP-SC95KCB,FC-34-97-DE-43-05,172.29.1.136,EC-2E-98-E3-5F-7F,192.168.0.103,NVMe SAMSUNG MZVLQ512HBLU-00B00;NVMe Samsung SSD 970 EVO Plus 500GB,465.75;475.93,360.33;323.94,SODIMM,DDR4,2x8 GB,11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz,Microsoft Windows 11 Pro
DESKTOP-SC95KCB,FC-34-97-DE-43-05,172.29.1.136,EC-2E-98-E3-5F-7F,192.168.0.103,NVMe SAMSUNG MZVLQ512HBLU-00B00;NVMe Samsung SSD 970 EVO Plus 500GB,465.75;475.93,360.33;323.94,SODIMM,DDR4,2x8 GB,11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz,Microsoft Windows 11 Pro
DESKTOP-SC95KCB,FC-34-97-DE-43-05,172.29.1.136,EC-2E-98-E3-5F-7F,192.168.0.103,NVMe SAMSUNG MZVLQ512HBLU-00B00;NVMe Samsung SSD 970 EVO Plus 500GB,465.75;475.93,360.33;323.91,SODIMM,DDR4,2x8 GB,11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz,Microsoft Windows 11 Pro
DESKTOP-SC95KCB,FC-34-97-DE-43-05,172.29.1.136,EC-2E-98-E3-5F-7F,192.168.0.103,NVMe SAMSUNG MZVLQ512HBLU-00B00;NVMe Samsung SSD 970 EVO Plus 500GB,465.75;475.93,360.33;323.9,SODIMM,DDR4,2x8 GB,11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz,Microsoft Windows 11 Pro
DESKTOP-SC95KCB,FC-34-97-DE-43-05,172.29.1.136,EC-2E-98-E3-5F-7F,169.254.131.83,NVMe SAMSUNG MZVLQ512HBLU-00B00;NVMe Samsung SSD 970 EVO Plus 500GB,465.75;475.93,408.52;323.81,SODIMM,DDR4,2x8 GB,11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz,Microsoft Windows 11 Pro
DESKTOP-SC95KCB,FC-34-97-DE-43-05,172.29.1.136,EC-2E-98-E3-5F-7F,169.254.131.83,NVMe SAMSUNG MZVLQ512HBLU-00B00;NVMe Samsung SSD 970 EVO Plus 500GB,465.75;475.93,408.52;323.81,SODIMM,DDR4,2x8 GB,11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz,Microsoft Windows 11 Pro
DESKTOP-SC95KCB,FC-34-97-DE-43-05,172.29.1.136,EC-2E-98-E3-5F-7F,192.168.0.111,NVMe SAMSUNG MZVLQ512HBLU-00B00;NVMe Samsung SSD 970 EVO Plus 500GB,465.75;475.93,408.52;324.21,SODIMM,DDR4,2x8 GB,11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz,Microsoft Windows 11 Pro
